Product_Id|Category|Price|Name|Description|Fullsize_Image|Thumbnail_Image|Size|Weight|Link_Page|Link_Label|USER1|USER2|USER3|USER4|Option_FileName
25PC|Sleeves|"1:10.45,21:9.75,41:8.95,100:8.5"|DiscSox Classic2 - 25 Pack|DiscSox Classic CD storage sleeves hold the booklet and up to 2 CDs or 1 CD and 1 DualDisc!|classic.gif|classic_small.gif|"5 1/8"" x 5"" (width x height) 
"|0.6|../products/classic-sleeve.htm|More Info…|NA|NA|NA|NA|NA
25PP_rl  |Sleeves|"1:7.95,21:7.35,41:6.95,100:6.45"|DiscSox Poly2 - 25 Pack|DiscSox Poly CD storage sleeves hold the booklet and up to 2 CDs or 1 CD and 1 DualDisc!|poly.gif|poly_small.gif|"5 1/8"" x 5"" (width x height)"|0.3|../products/poly-sleeve.htm|More Info…|NA|NA|NA|NA|NA
